review_id,company_name,industry,job_title,review_date,overall_rating,pros_text,cons_text
50,Boston Scientific,Healthcare,Sr. r&d engineer,2025-09-13,4.0,good benefits and good culture,below market pay and chaotic work
51,Boston Scientific,Healthcare,Principal manager,2025-08-16,4.0,Culture is great. CEO and team are inspiring and competent. Great work-life balance. Passionate and dedicated people,Limited growth opportunities. People spend years and years on same level. Ok for some people. Not to much for others
52,Boston Scientific,Healthcare,Field clinical representative,2025-09-08,1.0,None. Terrible overall experience. Promoting the wrong people,I had a manger run off an entire team and that individual was promoted. Terrible environment that ruined the entire company for me.
53,Boston Scientific,Healthcare,Sr. r&d engineer,2025-08-21,4.0,Work culture is better than most places. Work-life balance. Most are friendly.,Don't work in the Valencia site. They are downsizing.
54,Boston Scientific,Healthcare,Lab technician,2025-07-03,5.0,"Room for advancement Learn on the job Pay Benefits Culture Diversity Activities Investments into employees (Tuition reimbursement, certification classes and reimbursements, the list goes on) If YOU put in the effort and work, you WILL see a return. You get what you put in.",-My previous cons of communication has greatly improved.
55,Boston Scientific,Healthcare,Senior field clinical representative,2025-08-15,5.0,- Working with cutting edge research and devices - Direct patient interaction most rewarding part - Field based role,- Demanding call schedule - No room for complacency
56,Boston Scientific,Healthcare,Design quality engineer co-op,2025-08-25,5.0,"Company culture, Dedication of employees and Collaborative Environment",Nothing to be specific at all.
57,Boston Scientific,Healthcare,Principal business analyst,2025-08-20,5.0,"- great and helpful people to work with;
- great culture;
- good work/life balance",- lower than market pay
58,Boston Scientific,Healthcare,Clinical specialist,2025-08-05,4.0,"Initial training was fantastic. Great, life changing products. Reasonable expectations and managers. Awesome benefits and PTO.",Management is cliquey and not at a certain point you have to leave the company if you want to find advancement.
59,Boston Scientific,Healthcare,Scrum master,2025-07-23,5.0,This industry has been stable where other industries right now are experiencing layoffs. Great work life balance. You can take ownership of your career and upskill to get positions that accelerate your career growth.,Base Pay not as competitive as other companies. Not as many perks like RSUs or free food.
60,Boston Scientific,Healthcare,Quality engineer 2,2025-08-14,5.0,many sites to work from lots of resources Good budget,can deal with some arrogant managers can take a while to get promoted
61,Boston Scientific,Healthcare,Process engineer i,2025-08-18,5.0,Supportive culture and overall great company,Honestly nothing bad to report so far
62,Boston Scientific,Healthcare,Principal data scientist,2025-08-19,5.0,Excellent work life balance & nice culture,"Slow moving work overall, heavily regulated"
63,Boston Scientific,Healthcare,Pre-authorization specialist,2025-06-26,2.0,Close to home and colleagues are friendly.,"Favoritism, no promotions, low pay, management is very condescending, too much micromanagement , and no room for growth."
64,Boston Scientific,Healthcare,Senior manufacturing engineer,2025-08-09,5.0,There is a great culture and mission.,Generally value management ahead of individual contributors.
65,Boston Scientific,Healthcare,Marketing operations specialist,2025-08-04,3.0,Making a difference in the lives of patients.,"Lack of autonomy and flexibility, head count freezes, difficulty for growth."
66,Boston Scientific,Healthcare,Project manager,2025-03-25,2.0,- Work schedule flexibility - Commitment to DE&I - Health benefits and maternity leave are average,"There have been multiple policy changes in the past year and a half by CEO, Mike Mahoney that have tanked the culture of Boston Scientific. If you were an existing remote employee, there are no longer any opportunities for you and it is a sign of quiet firing. Many teams are over capacity and expected to work long hours and that is embedded in the culture. You work until the work is done. There are many policies that are in place, including increased face-to-face meetings, which seems hypocritical with new travel policies. Recently the CEO’s salary has been released, and it reflects in the merit and bonuses that we’ve been awarded. It would not surprise me if in a couple of months, DE&I goes away."
67,Boston Scientific,Healthcare,Process development engineer,2025-07-28,4.0,"Good people, oppurtunities to advance, promote high personal ethics","Beauracracy, internal gossip, project management"
68,Boston Scientific,Healthcare,Anonymous employee,2025-07-26,4.0,BSC has a great culture that makes you feel like one of the team.,Limited opportunity for growth despite career length.
69,Boston Scientific,Healthcare,Tax manager,2025-08-06,5.0,Exciting work and great team,None at this point in time
70,Boston Scientific,Healthcare,Digital marketing,2025-05-13,2.0,People you get to work with Salary is ok Bonus each year Impact of the company on patients Big company feel/perks Nice office and amenities,"Where to start. I loved this place up until a couple years ago. Management has turned into money crazy leaders where all that matters in sales. While that drives the business and investment, sales comes from humane operations and having time to think to build a great product. It takes great teams to do that, to emphasize that we need to make space to learn, be creative, think about what is important, to fail, to innovate, to grow. None of this is here anymore. Its about making the numbers look good - “seeing green” like i heard today. Everyone is under pressure to show growth no matter how its done. People take mental leaves, disappear from teams, you can visibly see the frustration on people, cracking under the pressure. Ive seen so many people come and go since management changed the culture. People are edged out, people silent quit. Everything is controlled by what one person thinks and the mood theyre in. Sunday scaries are real here now. Leaders will throw you under the bus and not pause to think about what you need from them to succeed just because they're constantly trying to please the upper management. You may be moving the earth and sky to get what they ask of you done and not get an inch of gratefulness or thank you- in fact they just move the bar and make you feel like you didnt reach it, change direction and not use your work at all that you stayed up all day and night doing to meet an out of the blue impossible deadline. Priorities dont shift around either, you need to make it work. This particular team has these problems but others have similar ones. Fear based leadership for this team which feels like worker bees holding up the team. You do make great friends as you share each others pain and hold each other up. I have no time to grow in my career at all as every second is taken up by work. 0 work life balance and actually bring home work and the stress, anxiety, and abuse with me."
71,Boston Scientific,Healthcare,Field clinical specialist,2025-07-22,5.0,Wonderful company. Invests in employees continuous training and development. Good benefits as well,Not sure I have any cons
72,Boston Scientific,Healthcare,Technician,2025-07-28,2.0,Good hours and good people for the most part,Depending on the manager can make your time difficult
73,Boston Scientific,Healthcare,Quality engineer 2,2025-07-16,4.0,Great people to collaborate with and very friendly. Excellent work life balance.,Promotions are not very clear and pay is on the lower side based on market standards.
74,Boston Scientific,Healthcare,Human resources,2025-01-23,4.0,Benefits Pto’s Perks 401k ESOP Daycare,"this is the most toxic workplace. Reeks of passive aggressive attitudes and entitled tenured grandpas and grandmas. Peers seem friendly but are manipulative, and petty. Some despite’ being tenured are clueless on company policies and “director “ titles make up for the sheer ignorance. Being in a people driven role, you are treated badly by internal leadership and employees, on certain situations. Leaders are reactive versus being mature. The benchmarking and data belongs to the 18th century and somehow is never competitive or accurate. Everyone is seemingly a part of project but outcomes are never tangible. TA onboarding operations all play to their own tunes and everyone seems disconnected."
75,Boston Scientific,Healthcare,Continuous improvement specialist,2025-07-15,3.0,Diversity and Inclusivity. On-line trainings.,Too much politics and sugar coating.
76,Boston Scientific,Healthcare,Clinical specialist,2025-03-09,1.0,A rewarding position that allows for employees to continuously improve their technical abilities. Good benefits as well.,"There is high turnover for a reason. There are plenty of two-faced people (including management) ready to take advantage of entry-level employees. To protect their idiocy, they will blame and target the new people (often the good talent) so that they aren't a threat to changing the toxic workplace culture. When good talent stands up for themselves, management will continue to use that against them to push them out the door. Not even just new employees, but other tenured people who aren't 'brown-nosers' or haven't formed alliances with the 'right' people are also subject to being undermined and targeted."
77,Boston Scientific,Healthcare,Specialist,2025-07-29,5.0,Took great care of employees,Worked a lot of hours
78,Boston Scientific,Healthcare,Principal software engineer,2025-07-25,5.0,"fair pay, slightly above market average",non i can think off
79,Boston Scientific,Healthcare,Clinical evaluation scientist,2025-01-02,5.0,"-I'm sure this varies from department/team, but I've found my manager and coworkers to be very friendly and helpful. They genuinely want me to succeed in this position and are always willing to set aside time to answer any questions/provide training. -The overall onboarding program at Boston is very organized. Important links and HR information is readily available and easy to locate. -Company culture is very supportive -Unlimited sick-time for salaried employees -Hybrid work-mode and general flexibility -Employee programs for shopping discounts (Perks at Work) -Daycare available at some facilities","-Salaried employees still have to track their time -PTO accrued monthly rather than lump sum at start of year -No additional support for paying off past student loans. At Abbott Labs they will contribute 5% of your salary to your 401K if you're paying at least 2% of your salary towards student loans. This means that rather than paying your student loans and contributing to your 401K, Abbott encourages you to put more money towards your student loans and will add 5% of your salary into your 401k for FREE. -No health incentive programs for discounts to health plan."
80,Boston Scientific,Healthcare,Crm field representative,2025-02-13,5.0,The training and field experience has been great. The teams I've been placed with have outstanding knowledge of CRM material and knowing the heart in and out. BS is a great company and work environment overall.,"The only con I have isn't necessarily with the company its just part of the employment status as a Per Diem. That's getting the proper time to work independently to really learn the trade. Also, there are no guarantees to get a full-time position if that's what your goal is it's up to timing and what the manager feels in the end so a good bit of unknowns with the per diem gig at least."
81,Boston Scientific,Healthcare,Senior cta,2025-06-03,4.0,"The overall company culture, swag, holidays, office space was all fantastic.","Pay was not aligned with market pay for the positions. Favored people with children, people without children were not granted any lenience and had higher expectations. Good managers were hard to come by."
82,Boston Scientific,Healthcare,Process engineer ii,2025-07-07,4.0,"Work life balance, smart people, cool products.","Slow career growth, stressful project timelines, low salaries with the caveat of good work life balance"
83,Boston Scientific,Healthcare,Medical device specialist,2025-03-27,3.0,Phenomenal benefits. Mostly steady work once you’ve been hired in full time. Decent amount of PTO,"Pay is crap, and raises are tiny. There are days where you won’t have work and have to go home without pay. And the breaks are minimal"
84,Boston Scientific,Healthcare,Anonymous employee,2025-06-27,4.0,Supportive company culture. Employees are encouraged to explore career opportunities internally to build up experience.,"Change is constant, and career advancement can be a long journey."
85,Boston Scientific,Healthcare,Clinical specialist,2025-06-13,5.0,"Great culture, great products, great is you want to work in medical device.","Cons are that it is a big company and while some devices may have that small company feel, not every division is like that."
86,Boston Scientific,Healthcare,R&d engineer,2025-07-09,4.0,"reliable benefits, good office environment","unexpected layoffs, not an ideal location"
87,Boston Scientific,Healthcare,Medical assembler,2025-06-16,5.0,"Loved the energy and how organized everything is, the work culture is very professional and managers are nice",Working weekends and having to catch up was normal at times
88,Boston Scientific,Healthcare,Marketing,2025-06-02,4.0,"The people and culture made it an enjoyable place to work, collaborative, supportive, and positive.",Limited opportunities for growth and development made it challenging to align with long-term career goals.
89,Boston Scientific,Healthcare,Manufacturing engineer ii,2025-07-03,4.0,"Culture is good, work/life balance is good",Pay and promotion can be slow to move
90,Boston Scientific,Healthcare,Design quality engineer ii,2025-06-07,5.0,20 days PTO to start with unlimited sick time in MN ESPP with 15% discount,"There's a culture of must listen to your seniors, and giving any sort of push back can be held against you"
91,Boston Scientific,Healthcare,Sr. software engineer,2025-06-26,5.0,"Work life balance 
Good 401K match 
Great leadership 
Great culture 
Innovation",growth can be slow at times
92,Boston Scientific,Healthcare,Senior manager quality,2025-05-19,5.0,"Great company and leadership, innovative","White male privilege, hard for women and even harder for persons of color to advance career. DE&I program don’t do anything to help"
93,Boston Scientific,Healthcare,Field clinical representative,2025-07-03,4.0,Company has been doing well in EP,Long unpredictable days and hours
94,Boston Scientific,Healthcare,Sr commission analyst,2025-03-20,4.0,Laid back and flexible. Good business growth potential.,"I felt like a glorified Excel analyst in my role, In my year of employment my boss only told me thank you or good job twice. They didn't appear to have a good data strategy as almost all analytics were being done in Excel despite having Tableau."
95,Boston Scientific,Healthcare,Marketing,2025-05-13,5.0,Broad development opportunities; inclusive team environment; challenging/rewarding work; core values that really resonate with me; working with/for very talented people; total compensation very competitive,The strong talent can make advancement a (worthy) challenge - especially at higher levels
96,Boston Scientific,Healthcare,Clinical research associate iii,2025-05-16,5.0,Experience is manager-dependent. Lots of support for career growth. Work life balance is great.,Roles have been changed to hybrid-model. Limits career mobility/opportunity
97,Boston Scientific,Healthcare,Medical assembler,2025-07-29,1.0,Nothing absolutely the worst ever,Everything is wrong with the company
98,Boston Scientific,Healthcare,Product builder,2025-06-16,5.0,"Supportive team, clean environment, great benefits, good training, flexible hours.","Sometimes repetitive tasks, limited advancement opportunities, weekend shifts required occasionally."
99,Boston Scientific,Healthcare,Clinical specialist,2025-06-24,5.0,love it and will never change,not enough inventory but it's okay
100,Boston Scientific,Healthcare,Senior financial analyst,2025-06-23,4.0,Work Life Balance Compensation Interesting Work Company Mission Company Leadership,Opportunities for Advancement are lacking
101,Pfizer,Healthcare,Clinical study associate,2025-11-14,5.0,Supports cross functional teams. Main job duties are to maintain Pfizer systems in development,Little access to patient data
102,Pfizer,Healthcare,Sr. director,2025-11-17,3.0,Great long term benefits if you have been here for over 15 years. Great work life balance.,"There is absolutely zero reason for joining this company. None. Unless you want the brand on your resume. Constant reorg, and I mean constant. On average, have had a new division lead every 12 months. Operational model keeps changing. Stock goes nowhere but south. People with no business leading people are made senior leaders, Others are let go, both with little advance notice."
103,Pfizer,Healthcare,Associate scientist,2025-11-16,4.0,"As someone with a learning disability I never felt unintelligent, they were always willing to work with me.","Would have wanted to have more growth within the company, and would have liked to know what happened to my samples after handing the data over to the senior scientist. Would have been helpful to be in more cross functional team meetings."
104,Pfizer,Healthcare,Associate scientist,2025-08-18,5.0,"Great work culture, friendly atmosphere. Benefits are great, different site events are fun and inclusive, there are opportunities for growth experiences, unlimited sick days for those in laboratory roles, clubs/organizations that promote community/personal development, new facilities, on-site gym ($15 per month),","Not organized/managers are not in sync with each other when department is bigger. Sometimes feels like youre being judged without people saying anything. (I.e - seeing you holding your bag and assuming you came in late, assigning you more tasks because they saw you talking to someone earlier, .etc). It might be because its such a friendly environment but departmental growth is easier if youre already friendly with management. Pfizer Fridays are in the summer (half days) but some departments just decide you cannot participate. Different cultures completely depending on what department you are in."
105,Pfizer,Healthcare,Senior administrative assistant,2025-10-13,4.0,My company was bought out by Pfizer so that sucked. Our company before the buy out in my opinion was better due to the amount of passion and work my company did. I really like the people and then work we stood for. I hoped Pfizer took us to the next level. I was only with Pfizer for 4 months after the merge so I can’t say anything for company.,It’s corporate so sometimes it can be hard to adapt
106,Pfizer,Healthcare,Bpt,2025-11-04,4.0,"pay, career advancement and placement.",Sometimes political but everyone can find a space for them.
107,Pfizer,Healthcare,Senior associate scientist,2025-11-06,3.0,"Collaborative departments, able to learn lot. Good exposure in cooperate pharma","Takes long for promotions even you prove yourself, difficult to crack politics."
108,Pfizer,Healthcare,Scientist,2025-11-07,3.0,"good systematic training, and WLB",limited career development and job stability
109,Pfizer,Healthcare,Internship,2025-11-08,4.0,"Pretty warm community. Competitive, but not toxic",Salaries are not the most competitive
110,Pfizer,Healthcare,Anonymous employee,2025-10-01,1.0,"Bothell's research leadership is passionate and fosters collaboration. The Pfizer acquisition brings deep expertise from other sites, efficient workflows capable of managing very high throughput, and the ability to attract experienced upper management and talent to modernize the Bothell site. New hire salary is generous.","Legacy Seagen talent left for Immunome. Many remaining have not worked elsewhere and are not familiar with practices standard across the industry. Sample traceability is poor, documentation is not standardized, training is not enforced, lab culture is tribal, middle management plays favorites and does not treat staff equally. Constant unaddressed rumors of layoffs lead to apathy and discourage innovation."
111,Pfizer,Healthcare,Sales,2025-10-29,4.0,Solid company Great opportunities. Lots of experienced people to learn from.,Very large. Get lost easy
112,Pfizer,Healthcare,Anonymous employee,2025-10-31,4.0,Good benefits and workplace culture,Too many layoffs and reorgs
113,Pfizer,Healthcare,Ehs specialist,2025-10-01,3.0,"Benefits, coworkers, facilities are being upgraded.","Salary below industry average, work-life balance, ability to facilitate change, facilities are old and at least a decade overdue for renovation, communication from management, employee morale."
114,Pfizer,Healthcare,Anonymous employee,2025-10-24,4.0,Smart coworkers and not crazy hours depending on the team,Very corporate hierarchy following and slow career growth
115,Pfizer,Healthcare,Documentation specialist,2025-10-20,3.0,Have great wellness program Generous PTO,expensive health insurance benefits (co-insurance)- covers nothing until you meet a high deductible
116,Pfizer,Healthcare,Marketing manager,2025-10-15,5.0,- Very human and flexible culture with very strong work life balance/no toxic hustle culture. - Pay is good - I like my coworkers,None to note so far.
117,Pfizer,Healthcare,Engagement partner,2025-10-20,3.0,Lots of great benefits and people,People have been there their whole career. It’s hard to bring new ideas.
118,Pfizer,Healthcare,Lead executive assistant,2025-09-18,1.0,None at this time. Terrible experience from day one.,"Unprofessional Lower wage/salary than most pharma Bonuses only to mgmt and above Extreme low morale and while leader is aware of it, they don’t care. Promotion are not based on knowledge or expertise but rather who you kiss up too. Layoffs are year round non stop. Poor culture throughout the organization. Employees have either been there 30 years or 1 year. No inbetween. And those that have been there 30 years hardly discussed their desire to be laid off"
119,Pfizer,Healthcare,Finance manager,2025-10-22,5.0,People and culture are the best here,There really isn’t much to say here
120,Pfizer,Healthcare,Technical project manager,2025-09-25,3.0,Great colleagues to work with and large company with a vast range of opportunities to move around and learn different things,It's a corporate job where money and stock price drive all decisions regardless of all the culture and family first language within the company. Typical corporate politics move the needle in too many situations vs logic and results
121,Pfizer,Healthcare,Technical project manager,2025-09-25,3.0,Great colleagues to work with and large company with a vast range of opportunities to move around and learn different things,It's a corporate job where money and stock price drive all decisions regardless of all the culture and family first language within the company. Typical corporate politics move the needle in too many situations vs logic and results
122,Pfizer,Healthcare,Health and science specialist,2025-10-21,5.0,Great company - excellent benefits,No cons to report at the moment
123,Pfizer,Healthcare,Scientist,2025-10-20,3.0,Not too busy and laxed,Can get out of control
124,Pfizer,Healthcare,Anonymous employee,2025-10-14,4.0,"Nice people, great teams. Good WLB and people are generally helpful.",Things move a little slow there. Limited career growth.
125,Pfizer,Healthcare,Principal device engineer,2025-10-09,5.0,"Great culture, not cut through. Lots of CRGS, promote diversity. challenging work and good work/life balance.",Large companies = sometimes lots of rigid systems.
126,Pfizer,Healthcare,Aseptic filling technician,2025-09-30,2.0,The cafeteria food was serviceable and weekly pay was nice.,Managment is blatantly incompetent. Layoffs could happen at any point. Took away double time (Should've unionized when you had the chance. WHOOPS lol) Benefits are mediocre. No upward mobility. Company basically falls apart on the off shifts particularly 2nd
127,Pfizer,Healthcare,Director,2025-10-07,4.0,I had a great experience as it was very amazing. Everyone was really great. I love you so,I wish they were more able to take a risk
128,Pfizer,Healthcare,Scientist,2025-09-15,3.0,"Management was okay, lots of opportunities to try new things and learn, pay was decent","Overall state of the company is very erratic and there is no job security, lots of work to be done and the work is not balanced across teams, promotions are difficult to achieve due to the limitations of the department"
129,Pfizer,Healthcare,Computer system validation specialist,2025-10-14,4.0,"Free food, Gym, Remote, Co workers and Manager is great","Pay, Benefits, flexible, location and passion"
