review_id,company_name,industry,job_title,location,employment_status,review_date,overall_rating,rating_work_life_balance,rating_culture_values,rating_compensation_benefits,rating_career_opportunities,rating_senior_management,headline,pros_text,cons_text,advice_to_management,helpful_count,url
11,Bechtel,Infrastructure,Structural engineer,,,2025-10-04,4.0,,,,,,,Had a really good manager,I felt like things were fairly political,,,
12,Bechtel,Infrastructure,Hydraulic engineer,,,2025-10-01,4.0,,,,,,,Involving in mega projects across the globe.,The nature of projects and jobs take whole your time.,,,
13,Bechtel,Infrastructure,Industrial engineer,,,2025-09-29,5.0,,,,,,,Bechtel takes great interest career growth and work-life balance.,Flexibility with work location is key to moving up,,,
14,Bechtel,Infrastructure,Human resources,,,2024-12-18,2.0,,,,,,,"? Not much. People are burnt out and overworked and layoffs do occur When you hear that ""employees have worked here for 20-30 years, yes that is the case for many...but that is also the norm for that generation. Doubt that will be the case for those joining now.","- The number of PTO hours they will tell you will receive is a lie. In between Christmas to New Years offices have a ""holiday closure period"" where you are FORCED, yes FORCED to take PTO. If you are working a 9/80 schedule this means that you are forced to use 36 hours of PTO during those days. - In addition to the above, on a 9/80 schedule you are also forced to use 1 hour of PTO for every paid holiday (8 hours paid holiday with 1 hour of your own PTO used). This means that for well over 40 hours of PTO you are dictated when to use it. Strange and terrible policy. Employees should be able to CHOOSE when to use PTO so they can use it as a time to recharge and travel. - Forcing back to 3 days in office when many of are jobs are very challenging to perform in a group setting and there is very minimal office space in Reston. Many of us accepted job with 2 days if office and have very long commute. I do not blame HR for these polices because they are forced to carry them out - I blame Brendan, Craig, and senior leadership",,,
15,Bechtel,Infrastructure,Manager,,,2025-09-24,5.0,,,,,,,Amazing Opportunities for hard workers. Open to ideas and innovation.,No cons to speak of,,,
16,Bechtel,Infrastructure,Anonymous employee,,,2025-06-16,5.0,,,,,,,"the culture and people are very caring and diverse and anyone who isn't tends to be an outlier. also, if you have to move because of the company (ie. moving projects to a new place) they will work with you and a moving company to take care of it, and they'll help cover other moving expenses. Of course there's more to it and always check docs/contracts, but bechtel is one of the only companies who I've heard will take care of their people like that whether they're entry level or management.","you /are/ at the mercy of what projects are available and where, but the company is pretty interested in keeping their people so they/you will figure out a place for you as best as possible",,,
17,Bechtel,Infrastructure,Anonymous employee,,,2025-09-23,4.0,,,,,,,Large projects and good experiences,"Many down times and layoffs,",,,
18,Bechtel,Infrastructure,Laborer,,,2025-09-16,3.0,,,,,,,Pretty good place to start out,No cons except for egotistical formen and gfs,,,
19,Bechtel,Infrastructure,Software engineer,,,2025-09-03,4.0,,,,,,,"- good benefits
- constant work","- feel stuck behind others timelines
- most of the population is older",,,
20,Bechtel,Infrastructure,Quality control inspector (qc inspector),,,2025-08-19,5.0,,,,,,,"High pay, great management team, clear communication (likely based on management team)","Long shifts, job sites in less desirable places to live",,,
21,Bechtel,Infrastructure,Purchasing specialist,,,2025-08-25,4.0,,,,,,,"Decent pay
Great teams
Good learning opportunities",Commute can be rather long to the office,,,
22,Bechtel,Infrastructure,Field engineer,,,2025-08-16,4.0,,,,,,,Pay was outstanding. Allowed me to purchase a home.,You work a ton of hours with minimal time between jobs.,,,
23,Bechtel,Infrastructure,Security analyst,,,2025-08-12,5.0,,,,,,,remote work with people who treat you kindly.,limited upward mobility based on how the team is structured.,,,
24,Bechtel,Infrastructure,Senior software engineer,,,2025-08-04,3.0,,,,,,,Good work life balance for person to work in slow paced environment.,"No Career growth , very limited I would say. I strongly feel like HR team is totally worst.",,,
25,Bechtel,Infrastructure,Dirt operator,,,2025-08-03,3.0,,,,,,,"Home every evening, reliable pay","Horrible work/life balance, pay is low for the area,",,,
26,Bechtel,Infrastructure,Quality manager,,,2025-07-12,5.0,,,,,,,Culture and atmosphere are good. Enjoyable workplace.,regular reduction in force depending on project status. Here today - gone tomorrow.,,,
27,Bechtel,Infrastructure,Former contractor-anonymous contractor,,,2025-05-07,2.0,,,,,,,"Coworker's were all amazing and great at what they did. Requesting time off was easy, but probably because this was a contract position. 9/80 schedule was also great. Located in an area with nice area's to walk on breaks and lunch.","Training is abysmal and passed off to other staff members and even contract workers after general company module slideshow/video trainings. There is a code of management where the first statement is to presume everyone has the best intentions which is not observed across the board. When you try to communicate transparently to inquiries of ""actually working"" under the guise of a nice tone, it is only met with suspicion and micromanaging, even when you provide a detailed work log. Referencing convoluted emails (sent out to multiple people) that were supposed to give you steps in what/how to do things, and sending screenshots of previous statements confirming the information known in the moment will not get you anywhere. Around four times I had to end message threads with 'I apologize as this is the last information I was given (insert ref) but I know now and will continue forward with this information in mind.' It also wasn't a great experience to have a supervisor that would personally text me that I needed to cover up or wear a different bra because I was nipping during the colder months when I'd first come in the building, even though I'm in a cubicle all day and no one else said anything about it or even noticed if/when it did happen (I inquired to female co-workers on it and if I had made anyone uncomfortable in anyway). Contract was cut short with no explanation. During my time there were no issues related to productivity brought up. Only wardrobe, comments on my body, and presuming I wasn't working when my teams status didn't reflect correctly (although this happened frequently with the supervisor's).",,,
28,Bechtel,Infrastructure,Laborer,,,2025-07-30,4.0,,,,,,,Good company to work for,No cons to working with them,,,
29,Bechtel,Infrastructure,Engineer,,,2025-01-24,3.0,,,,,,,"9/80 schedule is a nice change of pace, coming from more traditional 8 hour shifts 5 days/week. Lots of flexibility with start/end time. PTO allowance is more than other employers I've worked for in the past.","Employees are now required to be in the office 3 days per week; previously 2 days per week. Brendan/Craig (and all the other middle management who drink the kool-aid) purport this change will lead to ""more collaboration"", but from what I've seen it's just given people more time to waste standing around talking about non-work related stuff (usually for hours on end). Other than that, 401K isn't matched until after working one year. It's a fair amount, but not THAT much more than other places to warrant not matching from the very beginning. Additionally raises seem to be small, and promotions don't really seem to be a thing.",,,
30,Bechtel,Infrastructure,Hr generalist,,,2025-07-11,4.0,,,,,,,"Stable company, and great management to work with.",Need to relocate frequently from project to project,,,
31,Bechtel,Infrastructure,Engineer,,,2024-10-18,4.0,,,,,,,The career development is great here. There is very knowledgeable people on these projects who are always willing to help.,Leadership made us come back to office 3 days per week instead of the alternating remote weeks we had before. Select people on our teams get to work full time remote. They are working the same position as the rest of us. They don’t have to commute over an hour of the horrible traffic to work in person three times a week. There is no option for us in person people to work fully remote like the ones who are working remote. The excuse given is “to create a more collaborative environment”. How are we creating a more exclusive environment when a lot of supervisors and senior engineers are still working fully remote? We also have to use PTO for an entire week or go unpaid between Christmas and New Years as offices are closed. You don’t get to choose whether you get to work or not those weeks nor get a bonus.,,,
32,Bechtel,Infrastructure,Electrical field engineer,,,2025-07-01,5.0,,,,,,,Good Compensation. Decent PTO. Good Company Culture,Long hours depending on the job.,,,
33,Bechtel,Infrastructure,Information management data analyst,,,2025-05-22,4.0,,,,,,,"Small team, good starting pay for “college hires” like me. Reston is a very nice location and the office is very comfortable.",Uneven application of rules. Definite favoritism. In-office requirements does not apply to all employees the same,,,
34,Bechtel,Infrastructure,Crane operator,,,2025-06-18,4.0,,,,,,,"pay was good, bonus, overall rather safe.","communication , schedule, other trades supervision",,,
35,Bechtel,Infrastructure,Materials manager,,,2025-04-15,5.0,,,,,,,"The culture is about success through doing things right, for our customers and our people.","It's a big company, so it has its bureaucracy, but functions are weak on projects. Management and leadership could use more training in how to manage and lead. I can't say I've seen anywhere better, but one can dream.",,,
36,Bechtel,Infrastructure,Project accountant,,,2025-06-03,4.0,,,,,,,"Good people and benefits, interesting work","Very large, easy to get lost in the crowd",,,
37,Bechtel,Infrastructure,Manager,,,2024-12-03,2.0,,,,,,,"Bechtel is a company with a strong legacy and great potential, offering exciting projects and a diverse workforce.","The saying ""People don’t leave jobs; they leave managers"" rings particularly true at Bechtel. Unfortunately, the company does not seem to address situations where poor management contributes to employee turnover. Some managers receive strong feedback from upper leadership but fail to provide adequate support and respect to their teams. A specific example is the executive manager of AI, Fatemeh Mirrashed, reporting directly to the CIO. This manager has consistently treated employees poorly, leading to a significant number of team members either leaving the company or transferring to other teams. Despite this, the company continues to promote such individuals, which sends a concerning message!",,,
38,Bechtel,Infrastructure,Engineer,,,2025-05-28,5.0,,,,,,,"Good compensation, management, and assignments","Schedule pressure can get a little bad at times, sense of belonging",,,
39,Bechtel,Infrastructure,Application support,,,2025-05-04,4.0,,,,,,,"During my time I had a good experience. Ability to travel, guide my career in the direction I wanted.","Salary, salary, salary. Was told not to expect a competitive IT salary at an engineering company.",,,
40,Bechtel,Infrastructure,Superintendent,,,2025-06-04,5.0,,,,,,,"Pay is good, benefits are good",None come to my mind,,,
41,Bechtel,Infrastructure,Superintendent,,,2025-06-04,5.0,,,,,,,"Pay is good, benefits are good",None come to my mind,,,
42,Bechtel,Infrastructure,Health and safety advisor,,,2025-07-01,1.0,,,,,,,Pay is decent for the work load,Lack of ethics or professionalism.,,,
43,Bechtel,Infrastructure,Prime contract administrator,,,2025-05-09,4.0,,,,,,,"Great supervisor who taught me well, good pay and benefits","Very large and complicated structure, remote work was a challenge, and difficult to build rapport with leadership.",,,
44,Bechtel,Infrastructure,Crew lead,,,2025-05-05,1.0,,,,,,,You have a job and get a paycheck.,"They micromanage you, underpay you for your work, lie to you and tell you the company is looking great when in reality, they are shutting down in 3 weeks but you are getting the bucket without letting you know so you have time to look for work somewhere else.",,,
45,Bechtel,Infrastructure,Rigger,,,2025-05-07,4.0,,,,,,,Long term work is nice Plenty of hours.,Very clicky Safety is second after production Poor communication and project management,,,
46,Bechtel,Infrastructure,Anonymous employee,,,2025-04-14,5.0,,,,,,,Great company where someone with the company name actually cares about the people who work there. Great effort is put forth to ensure it is a far-above-average place to work.,Sometimes the wheels go slowly.,,,
47,Bechtel,Infrastructure,Human resources manager,,,2025-01-20,5.0,,,,,,,"Usually project, not politics-driven work Pay scales above competitors; project packages usually take care of relo expense Surrounded by professional and managerial competence","Too often veteran employee eccentricities are tolerated resulting in bad treatment of staff No real home - work from the project site for most employees every few years, work becomes your life, so sympathy for work life balance, project comes first",,,
48,Bechtel,Infrastructure,Purchasing supervisor,,,2025-04-11,4.0,,,,,,,"A lot of responsibilities, but a lot of learning. Not enough power to make process and procedure changes.",Overloaded at times with actual work with not enough time for managements reports that they can download themselves,,,
49,Bechtel,Infrastructure,Software developer,,,2025-05-01,3.0,,,,,,,It is a very good company,There is no cons for this company,,,
50,Bechtel,Infrastructure,Structural engineer,,,2025-04-25,5.0,,,,,,,Many pros of working here,No cons of working here,,,
51,Bechtel,Infrastructure,Senior piping designer,,,2025-04-17,2.0,,,,,,,Don’t generally lay people off,"Arrogant 
Don’t reward financially based on merit. Rewards are based on equity",,,
52,Bechtel,Infrastructure,Engineer,,,2025-04-22,4.0,,,,,,,"Great communication, and great personality.","No overtime, and paid vacations",,,
53,Bechtel,Infrastructure,Anonymous employee,,,2025-04-14,5.0,,,,,,,The company has great benefits and culture for professionals.,There is not a work life balance.,,,
54,Bechtel,Infrastructure,Contracts specialist,,,2025-03-12,5.0,,,,,,,Managers here are really open about your career and don't shy away from supporting your needs. Functional is really active with each Project and discuss actively about new roles to all.,Sometimes a lot of bureaucracy. Overall benefits could be better.,,,
55,Bechtel,Infrastructure,Construction planner,,,2025-04-16,4.0,,,,,,,Growth opportunities and very challenging projects,Work life balance wasn’t the best.,,,
56,Bechtel,Infrastructure,Anonymous employee,,,2025-02-04,2.0,,,,,,,"Okay pay, comprehensive insurance plans, work environment very dependent on your placement and manager","Upper management really inconsiderate for regular employees, will move you or change your WFH/Hybrid status without consultation and without reasonable cause. Favoritism will prevent bad eggs from getting fired (and they often get rewarded for brown nosing!)",,,
57,Bechtel,Infrastructure,Administrative supervisor,,,2025-03-20,4.0,,,,,,,"Great company, benefits and culture",No aligned with industry when it comes to the administrative professional for salary. Very little movement within the administrative professional for job growth.,,,
58,Bechtel,Infrastructure,Journeyman wireman,,,2024-12-20,3.0,,,,,,,Working at the Vit Plant is great pay and there is a high emphasis on safety,"Working hours aren't the best (6:30 to 5:00 Monday through Thursday). The time off policy for tradesman is poor, only getting 160 off a year (unpaid), if you use that up and get sick then your out of luck.",,,
59,Bechtel,Infrastructure,Systems engineering manager,,,2025-04-01,4.0,,,,,,,Good pay & Bonus. 6% 401k match,Have to move when project ends,,,
60,Bechtel,Infrastructure,Anonymous employee,,,2025-01-03,2.0,,,,,,,Remote option and there was always something new to recruit on. Very busy company.,"Had my one on one, all good no complaints. Two days later I am being laid off. I was a perm employee. Later found out they let me go and converted a temp employee. I was told my layoff had nothing to do with my production but wasn't given a reason.",,,
61,Bechtel,Infrastructure,Senior scheduling engineer,,,2025-03-18,5.0,,,,,,,"Career development 
Good Compensation and Benefits
Good Overtime pay","Extended work week
Sometimes Long hours to meet deadlines",,,
62,Bechtel,Infrastructure,Documentation specialist,,,2025-03-13,2.0,,,,,,,Stable work with a mission,Obscene amounts of bureaucracy and red tape,,,
63,Bechtel,Infrastructure,Senior engineer,,,2024-12-29,4.0,,,,,,,Treated with reapect. Lots of training opportunities. A1 engineering company. Incredible projects.,Max time off 4 weeks which I eludes sick leave. Same if you are newly hired or 30 years in company. Bonuses extremely low and not in line with annual reviews.,,,
64,Bechtel,Infrastructure,Chemical engineer,,,2025-02-26,3.0,,,,,,,My co-workers were the best part of the company.,The main downside was the profitability of the clients determined whether projects were cancelled or not.,,,
65,Bechtel,Infrastructure,Control systems engineer,,,2025-03-09,5.0,,,,,,,Lots of growth on the job,None that I can think of,,,
66,Bechtel,Infrastructure,Legal,,,2025-02-10,4.0,,,,,,,Excellent work environment. Work-life balance. Sophisticated work.,"Advancement in terms of compensation and promotions are vague. Of course after performance, seems it's more really more about years at the company than anything.",,,
67,Bechtel,Infrastructure,Licensing engineer,,,2024-09-19,5.0,,,,,,,"Bechtel is serious about career development for its people. Though they prefer that you move internally to the company, the mantra is that if you want an experience outside of Bechtel, pursue it. When you come back to Bechtel, it makes the company stronger.",There's a lot of governance you have to contend with. They're so serious about retaining people that you may end up doing work that's uninteresting or seems like busy work.,,,
68,Bechtel,Infrastructure,Welding engineer,,,2025-03-04,3.0,,,,,,,Many projects across US and world,No real work - life balance,,,
69,Bechtel,Infrastructure,Engineering group supervisor,,,2024-12-12,4.0,,,,,,,Pay and benefits are good.,"The project management turnover is maybe 1-2 years to there is a complete lack of vision and continuity. Bechtel also ""bent over"" every time the client asked for something and seldom asked for extension of time to accomplish the ask. We were also asked to do 50-60 hour weeks because of this spineless approach.",,,
70,Bechtel,Infrastructure,Field engineer,,,2025-02-17,4.0,,,,,,,Great way to move around the country through projects,"If you’re unwilling to move, it’s harder to move up",,,
71,Bechtel,Infrastructure,Pipe stress engineer,,,2025-01-30,4.0,,,,,,,Managers will fight for you until you get a bad one. Then they don't.,Very buerocratic and feels too big.,,,
72,Bechtel,Infrastructure,Senior mechanical engineer,,,2025-01-13,5.0,,,,,,,Wide variety of Opportunities to work in design. Compensation is decent. Overall excellent place to learn and grow. There's plenty of lifers and i can see why.,Procedure heavy. Relocation sometimes necessary. Work life balance can suffer.,,,
73,Bechtel,Infrastructure,"Communications, external affairs specialist",,,2024-07-18,4.0,,,,,,,"Extraordinary Teams Building Inspiring Projects Since 1898, we have helped customers complete more than 25,000 projects in 160 countries on all seven continents that have created jobs, grown economies, improved the resiliency of the world's infrastructure, increased access to energy, resources, and vital services, and made the world a safer, cleaner place. Differentiated by the quality of our people and our relentless drive to deliver the most successful outcomes, we align our capabilities to our customers' objectives to create a lasting positive impact. We serve the Infrastructure; Nuclear, Security & Environmental; Energy; Mining & Metals, and the Manufacturing and Technology markets. Our services span from initial planning and investment, through start-up and operations.","resiliency of the world's infrastructure, increased access to energy, resources, and vital services - new projects, new places",,,
74,Bechtel,Infrastructure,Supply chain analyst,,,2025-01-02,2.0,,,,,,,They treat their employees well with benefits. Many employees have been there for decades and rave about the security of the job.,Very depressing work environment. Large office environment that does allow for much work life balance with 9 hour days.,,,
75,Bechtel,Infrastructure,Systems engineer supervisor,,,2025-01-27,4.0,,,,,,,Good pay- bonus. OT pay,Long hours. Week end work,,,
76,Bechtel,Infrastructure,Senior engineer,,,2025-01-06,4.0,,,,,,,"Great people, great work opportunities, great growth potential","Very high work load, very low work life balance",,,
77,Bechtel,Infrastructure,Expeditor,,,2024-05-16,4.0,,,,,,,There are people who are willing to train you and take their time to do it. You just need to find the right connections. Lots of opportunities for growth and can either work in office or in the field. the whole week of christmas we are closed in the US unless you work on certain projects (more field work) and the client requests work to be done.,They have some supervisors that shouldn’t really be supervisors. They went from being able to work fully remote in some roles to having to be in office 3 days which is not fair to many folks who got hired for a remote job. There are some folks who think they dont need to do certain work due to length of time being here,,,
78,Bechtel,Infrastructure,Engineer,,,2024-10-21,4.0,,,,,,,Company offered a great introductory position as an engineer with position exposure to challenging projects and with strong dedicated engineering staff to work with on a daily basis.,"With strong demands comes strong expectations. Not necessarily a ""Con"" but certainly needs to be considered as an expectation",,,
79,Bechtel,Infrastructure,Buyer,,,2024-12-26,4.0,,,,,,,Good PTO and 401k match.,Difficult to move up in the company.,,,
80,Bechtel,Infrastructure,Field engineer,,,2024-12-23,5.0,,,,,,,Good pay and benefits to you,A lot more hours than most,,,
81,Bechtel,Infrastructure,Project controls engineer,,,2024-11-19,3.0,,,,,,,Ease of access and colleagues.,Poor management negative work environment,,,
82,Bechtel,Infrastructure,Project controls engineer,,,2024-11-12,4.0,,,,,,,"Pretty immersive and challenging environment, can get as much out of experience as you put in.","Can be very demanding, and to succeed at highest levels wont have the best work life balance.",,,
83,Bechtel,Infrastructure,Mechanical engineer ii,,,2024-11-08,4.0,,,,,,,Kind and understanding management Competitive pay Safe place to work Teleworking option,Tedious work Many roadblocks to completion Stuck in office all day,,,
84,Bechtel,Infrastructure,University hire - engineer,,,2024-12-12,4.0,,,,,,,Surrounded by smart people to learn from,Some people can be very unkind,,,
85,Bechtel,Infrastructure,Pipe welder,,,2024-12-18,5.0,,,,,,,Good company to work for,Nothing bad to say about them,,,
86,Bechtel,Infrastructure,Systems engineer,,,2024-12-15,4.0,,,,,,,They offer great relocation packages.,They have a very rigid leadership structure.,,,
87,Bechtel,Infrastructure,Anonymous employee,,,2024-10-31,5.0,,,,,,,"pay, good streamlined procedure, hybrid work, growth",if they push for RTO more,,,
88,Bechtel,Infrastructure,Automation engineer,,,2024-12-09,5.0,,,,,,,Great company strive with you in many ways,None at all they perfect,,,
89,Bechtel,Infrastructure,Mechanical engineer,,,2024-12-03,5.0,,,,,,,Great healthy work environment with helpful peers and management.,"Can get busy at times,",,,
90,Bechtel,Infrastructure,Engineer,,,2024-11-25,5.0,,,,,,,Good company to work for.,"HR department is lacking, but overall, I enjoy working there.",,,
91,Bechtel,Infrastructure,Site acquisition manager,,,2024-09-23,3.0,,,,,,,Unbelievable amounts of free training (including toward meaningful certifications) online,"Very conformist work culture, highly top-down MGMT style, ""it's who you know"" hiring & firing environment",,,
92,Bechtel,Infrastructure,Supply chain management intern,,,2024-11-07,5.0,,,,,,,Awesome people that have a passion for helping you learn!,Strict/Strenuous Business Operations for all procedures,,,
93,Bechtel,Infrastructure,Mechanical engineer,,,2024-11-12,5.0,,,,,,,Great Company Culture and Work Environment,I have not found any cons,,,
94,Bechtel,Infrastructure,Senior structural engineer,,,2024-10-22,4.0,,,,,,,Good systems templates professional atmosphere,"Micromanaging, endless emails thoughts of the day constantly changing passwords",,,
95,Bechtel,Infrastructure,Project controls engineer,,,2024-09-20,3.0,,,,,,,Stable company with a lot of opportunity to learn.,"Career Development - Due to large project size, it’s easy to be ignored. High Stress - incredible amount of stress even at lower levels.",,,
96,Bechtel,Infrastructure,Systems analyst,,,2024-08-21,4.0,,,,,,,"Great pay, benefits and help with training and school.","Health insurance could be better and holiday pay is only based on an 8 hour day even it you work a 10 hour day, so you would have to take PTO to make up missing hours.",,,
97,Bechtel,Infrastructure,Rodbuster,,,2024-10-31,3.0,,,,,,,Good opportunity to advance maybe,Felt like some people were discriminating,,,
98,Bechtel,Infrastructure,Operator,,,2024-10-08,4.0,,,,,,,Pay is good work environment is business family oriented,There is a lot of buddy buddy system that makes it hard to advance,,,
99,Bechtel,Infrastructure,Field engineer,,,2024-10-01,4.0,,,,,,,great benefits and performance review cycles,there is a glass ceiling at grade 27,,,
100,Bechtel,Infrastructure,Engineer,,,2024-12-08,1.0,,,,,,,Nothing nothing nothing nothing nothing,"Bad people, bad politics and bad management",,,
101,Jacobs Engineering,Infrastructure,Director,,,2025-10-04,5.0,,,,,,,"Good people, understanding culture, great clients (usually).","Due to Jacobs being a large company, at times it will feel like there is little / no connection with the corporate offices.",,,
102,Jacobs Engineering,Infrastructure,Sr software engineer consultant,,,2025-10-11,4.0,,,,,,,"I worked for them as an independent contractor for a bit over 1 year, The pay was quite good. It was a fully remote job that ended abruptly because the client wanted a PM that actually knew about the tech we were using, but for some reason Jacobs wouldn't provide that, so when it came up for renewal they lost out to a smaller, specialized company. This was unfortunate because I really enjoyed this job and got along very well with the client. It was also fully remote which was great. Overall, at least as an independent contractor, working at Jacobs was great","The only downsides I could say about my time here is that they need to listen to the client more and try better to give them what they need. Also, they often paid out our earnings quite late.",,,
103,Jacobs Engineering,Infrastructure,Graphic design technician,,,2025-11-11,3.0,,,,,,,"work from home, flexibility, make your own schedule","no guidance, always looking to be billable, stressful work deadlines",,,
104,Jacobs Engineering,Infrastructure,Process mechanical engineer ii,,,2025-09-18,4.0,,,,,,,My experience with Jacobs has been positive in terms of a welcoming company culture (specifically at the local level) and a supportive work-life balance. The people that I work with are kind and inviting to new members despite an obvious age gap between entry/intermediate staff and senior staff. Jacobs has an unlimited PTO policy that in my experience has been generous. I have not had any time off requests denied and have been able to take a healthy amount of paid vacation per year since the unlimited PTO policy was put in place.,"The company, like many corporations, is very secretive about the pay scales. The annual merit increases are small, regardless of an individual's performance rating. And the actual salary range for your position is not disclosed.",,,
105,Jacobs Engineering,Infrastructure,Senior consultant,,,2025-11-08,5.0,,,,,,,Opportunities for growth and impact,sometimes very slow as an organization,,,
106,Jacobs Engineering,Infrastructure,Mechanical engineer,,,2025-11-08,5.0,,,,,,,"location flexibility
Management
Mentorship
Projects","Lack of bonuses
Infrequent salary increases",,,
107,Jacobs Engineering,Infrastructure,Senior project engineer,,,2025-10-31,4.0,,,,,,,"Interesting projects, good benefits, very talented and interesting employees","High workload variability, no bonuses but offset by stock purchase program. Very hard to climb the corporate ladder.",,,
108,Jacobs Engineering,Infrastructure,Administrative assistant,,,2025-10-24,4.0,,,,,,,"Ethical, diverse. I worked with a lot of great people. Stock does well.",People are NOT the greatest asset.,,,
109,Jacobs Engineering,Infrastructure,Project engineer,,,2025-10-22,4.0,,,,,,,"Unlimited PTO, good people, overtime pay (straight time)",Managers can be distant if you're at a client site.,,,
110,Jacobs Engineering,Infrastructure,Environmental planner,,,2025-10-05,3.0,,,,,,,"wide variety and range of projects, opportunities to expand portfolio, supportive of climbing the corporate ladder","pressure to work on as many projects as possible, difficult to maintain work-life balance",,,
111,Jacobs Engineering,Infrastructure,Environmental planner,,,2025-10-05,3.0,,,,,,,"wide variety and range of projects, opportunities to expand portfolio, supportive of climbing the corporate ladder","pressure to work on as many projects as possible, difficult to maintain work-life balance",,,
112,Jacobs Engineering,Infrastructure,Director,,,2025-10-04,5.0,,,,,,,"Good people, understanding culture, great clients (usually).","Due to Jacobs being a large company, at times it will feel like there is little / no connection with the corporate offices.",,,
113,Jacobs Engineering,Infrastructure,İntern,,,2025-10-16,4.0,,,,,,,High pays versatile and good work conditions,Long hours no breaks for real for real,,,
114,Jacobs Engineering,Infrastructure,Engineer,,,2025-10-15,3.0,,,,,,,Unlimited PTO and work schedule flexibility,Low total pay and compensation,,,
115,Jacobs Engineering,Infrastructure,Battery engineer,,,2025-10-16,3.0,,,,,,,Work life balance is good,Low pay and not good working environment for women,,,
116,Jacobs Engineering,Infrastructure,Anonymous employee,,,2025-10-15,4.0,,,,,,,nice people to work with,so slow to get to next level,,,
117,Jacobs Engineering,Infrastructure,Highway engineer,,,2025-08-15,4.0,,,,,,,They have big engineering teams that could help you,"Good work environment. People are kind, However, I think they often give busy work that no one wants to do, especially as an entry level. They do not help much when you request to do other stuff. It is very slow to grow in this organization. On average, salary increases per year are only like 1%-3%. They don't do much to promote people. They do not give a bonus. You only get your salary and that's it.",,,
