review_id,company_name,industry,job_title,review_date,overall_rating,pros_text,cons_text,pros_sentiment_score,pros_sentiment_label,cons_sentiment_score,cons_sentiment_label,combined_sentiment_score,combined_sentiment_label
55,Boston Scientific,Healthcare,Senior field clinical representative,2025-08-15,5.0,- Working with cutting edge research and devices - Direct patient interaction most rewarding part - Field based role,- Demanding call schedule - No room for complacency,0.4927,Positive,-0.4767,Negative,0.008000000000000007,Neutral
56,Boston Scientific,Healthcare,Design quality engineer co-op,2025-08-25,5.0,"Company culture, Dedication of employees and Collaborative Environment",Nothing to be specific at all.,0.0,Neutral,0.0,Neutral,0.0,Neutral
57,Boston Scientific,Healthcare,Principal business analyst,2025-08-20,5.0,"- great and helpful people to work with;
- great culture;
- good work/life balance",- lower than market pay,0.9313,Positive,-0.3818,Negative,0.27475000000000005,Positive
58,Boston Scientific,Healthcare,Clinical specialist,2025-08-05,4.0,"Initial training was fantastic. Great, life changing products. Reasonable expectations and managers. Awesome benefits and PTO.",Management is cliquey and not at a certain point you have to leave the company if you want to find advancement.,0.9371,Positive,-0.1813,Negative,0.3779,Positive
59,Boston Scientific,Healthcare,Scrum master,2025-07-23,5.0,This industry has been stable where other industries right now are experiencing layoffs. Great work life balance. You can take ownership of your career and upskill to get positions that accelerate your career growth.,Base Pay not as competitive as other companies. Not as many perks like RSUs or free food.,0.836,Positive,0.597,Positive,0.7164999999999999,Positive
60,Boston Scientific,Healthcare,Quality engineer 2,2025-08-14,5.0,many sites to work from lots of resources Good budget,can deal with some arrogant managers can take a while to get promoted,0.4404,Positive,-0.1027,Negative,0.16885,Positive
61,Boston Scientific,Healthcare,Process engineer i,2025-08-18,5.0,Supportive culture and overall great company,Honestly nothing bad to report so far,0.743,Positive,0.705,Positive,0.724,Positive
62,Boston Scientific,Healthcare,Principal data scientist,2025-08-19,5.0,Excellent work life balance & nice culture,"Slow moving work overall, heavily regulated",0.7579,Positive,0.0,Neutral,0.37895,Positive
63,Boston Scientific,Healthcare,Pre-authorization specialist,2025-06-26,2.0,Close to home and colleagues are friendly.,"Favoritism, no promotions, low pay, management is very condescending, too much micromanagement , and no room for growth.",0.4939,Positive,0.0808,Positive,0.28735,Positive
64,Boston Scientific,Healthcare,Senior manufacturing engineer,2025-08-09,5.0,There is a great culture and mission.,Generally value management ahead of individual contributors.,0.6249,Positive,0.34,Positive,0.48245000000000005,Positive
65,Boston Scientific,Healthcare,Marketing operations specialist,2025-08-04,3.0,Making a difference in the lives of patients.,"Lack of autonomy and flexibility, head count freezes, difficulty for growth.",0.0,Neutral,0.0516,Positive,0.0258,Neutral
66,Boston Scientific,Healthcare,Project manager,2025-03-25,2.0,- Work schedule flexibility - Commitment to DE&I - Health benefits and maternity leave are average,"There have been multiple policy changes in the past year and a half by CEO, Mike Mahoney that have tanked the culture of Boston Scientific. If you were an existing remote employee, there are no longer any opportunities for you and it is a sign of quiet firing. Many teams are over capacity and expected to work long hours and that is embedded in the culture. You work until the work is done. There are many policies that are in place, including increased face-to-face meetings, which seems hypocritical with new travel policies. Recently the CEO’s salary has been released, and it reflects in the merit and bonuses that we’ve been awarded. It would not surprise me if in a couple of months, DE&I goes away.",0.7506,Positive,0.6582,Positive,0.7044,Positive
67,Boston Scientific,Healthcare,Process development engineer,2025-07-28,4.0,"Good people, oppurtunities to advance, promote high personal ethics","Beauracracy, internal gossip, project management",0.6705,Positive,-0.1779,Negative,0.2463,Positive
68,Boston Scientific,Healthcare,Anonymous employee,2025-07-26,4.0,BSC has a great culture that makes you feel like one of the team.,Limited opportunity for growth despite career length.,0.765,Positive,0.5423,Positive,0.6536500000000001,Positive
69,Boston Scientific,Healthcare,Tax manager,2025-08-06,5.0,Exciting work and great team,None at this point in time,0.8074,Positive,0.0,Neutral,0.4037,Positive
70,Boston Scientific,Healthcare,Digital marketing,2025-05-13,2.0,People you get to work with Salary is ok Bonus each year Impact of the company on patients Big company feel/perks Nice office and amenities,"Where to start. I loved this place up until a couple years ago. Management has turned into money crazy leaders where all that matters in sales. While that drives the business and investment, sales comes from humane operations and having time to think to build a great product. It takes great teams to do that, to emphasize that we need to make space to learn, be creative, think about what is important, to fail, to innovate, to grow. None of this is here anymore. Its about making the numbers look good - “seeing green” like i heard today. Everyone is under pressure to show growth no matter how its done. People take mental leaves, disappear from teams, you can visibly see the frustration on people, cracking under the pressure. Ive seen so many people come and go since management changed the culture. People are edged out, people silent quit. Everything is controlled by what one person thinks and the mood theyre in. Sunday scaries are real here now. Leaders will throw you under the bus and not pause to think about what you need from them to succeed just because they're constantly trying to please the upper management. You may be moving the earth and sky to get what they ask of you done and not get an inch of gratefulness or thank you- in fact they just move the bar and make you feel like you didnt reach it, change direction and not use your work at all that you stayed up all day and night doing to meet an out of the blue impossible deadline. Priorities dont shift around either, you need to make it work. This particular team has these problems but others have similar ones. Fear based leadership for this team which feels like worker bees holding up the team. You do make great friends as you share each others pain and hold each other up. I have no time to grow in my career at all as every second is taken up by work. 0 work life balance and actually bring home work and the stress, anxiety, and abuse with me.",0.8176,Positive,0.6981,Positive,0.75785,Positive
71,Boston Scientific,Healthcare,Field clinical specialist,2025-07-22,5.0,Wonderful company. Invests in employees continuous training and development. Good benefits as well,Not sure I have any cons,0.8834,Positive,-0.2411,Negative,0.32115,Positive
72,Boston Scientific,Healthcare,Technician,2025-07-28,2.0,Good hours and good people for the most part,Depending on the manager can make your time difficult,0.7003,Positive,-0.3612,Negative,0.16955,Positive
73,Boston Scientific,Healthcare,Quality engineer 2,2025-07-16,4.0,Great people to collaborate with and very friendly. Excellent work life balance.,Promotions are not very clear and pay is on the lower side based on market standards.,0.9113,Positive,-0.6445,Negative,0.13340000000000002,Positive
74,Boston Scientific,Healthcare,Human resources,2025-01-23,4.0,Benefits Pto’s Perks 401k ESOP Daycare,"this is the most toxic workplace. Reeks of passive aggressive attitudes and entitled tenured grandpas and grandmas. Peers seem friendly but are manipulative, and petty. Some despite’ being tenured are clueless on company policies and “director “ titles make up for the sheer ignorance. Being in a people driven role, you are treated badly by internal leadership and employees, on certain situations. Leaders are reactive versus being mature. The benchmarking and data belongs to the 18th century and somehow is never competitive or accurate. Everyone is seemingly a part of project but outcomes are never tangible. TA onboarding operations all play to their own tunes and everyone seems disconnected.",0.3818,Positive,-0.5464,Negative,-0.08230000000000001,Negative
75,Boston Scientific,Healthcare,Continuous improvement specialist,2025-07-15,3.0,Diversity and Inclusivity. On-line trainings.,Too much politics and sugar coating.,0.0,Neutral,0.0,Neutral,0.0,Neutral
76,Boston Scientific,Healthcare,Clinical specialist,2025-03-09,1.0,A rewarding position that allows for employees to continuously improve their technical abilities. Good benefits as well.,"There is high turnover for a reason. There are plenty of two-faced people (including management) ready to take advantage of entry-level employees. To protect their idiocy, they will blame and target the new people (often the good talent) so that they aren't a threat to changing the toxic workplace culture. When good talent stands up for themselves, management will continue to use that against them to push them out the door. Not even just new employees, but other tenured people who aren't 'brown-nosers' or haven't formed alliances with the 'right' people are also subject to being undermined and targeted.",0.9313,Positive,0.6896,Positive,0.81045,Positive
77,Boston Scientific,Healthcare,Specialist,2025-07-29,5.0,Took great care of employees,Worked a lot of hours,0.8074,Positive,0.0,Neutral,0.4037,Positive
78,Boston Scientific,Healthcare,Principal software engineer,2025-07-25,5.0,"fair pay, slightly above market average",non i can think off,0.2263,Positive,0.0,Neutral,0.11315,Positive
79,Boston Scientific,Healthcare,Clinical evaluation scientist,2025-01-02,5.0,"-I'm sure this varies from department/team, but I've found my manager and coworkers to be very friendly and helpful. They genuinely want me to succeed in this position and are always willing to set aside time to answer any questions/provide training. -The overall onboarding program at Boston is very organized. Important links and HR information is readily available and easy to locate. -Company culture is very supportive -Unlimited sick-time for salaried employees -Hybrid work-mode and general flexibility -Employee programs for shopping discounts (Perks at Work) -Daycare available at some facilities","-Salaried employees still have to track their time -PTO accrued monthly rather than lump sum at start of year -No additional support for paying off past student loans. At Abbott Labs they will contribute 5% of your salary to your 401K if you're paying at least 2% of your salary towards student loans. This means that rather than paying your student loans and contributing to your 401K, Abbott encourages you to put more money towards your student loans and will add 5% of your salary into your 401k for FREE. -No health incentive programs for discounts to health plan.",0.9818,Positive,0.9029,Positive,0.94235,Positive
80,Boston Scientific,Healthcare,Crm field representative,2025-02-13,5.0,The training and field experience has been great. The teams I've been placed with have outstanding knowledge of CRM material and knowing the heart in and out. BS is a great company and work environment overall.,"The only con I have isn't necessarily with the company its just part of the employment status as a Per Diem. That's getting the proper time to work independently to really learn the trade. Also, there are no guarantees to get a full-time position if that's what your goal is it's up to timing and what the manager feels in the end so a good bit of unknowns with the per diem gig at least.",0.9545,Positive,0.2449,Positive,0.5997,Positive
81,Boston Scientific,Healthcare,Senior cta,2025-06-03,4.0,"The overall company culture, swag, holidays, office space was all fantastic.","Pay was not aligned with market pay for the positions. Favored people with children, people without children were not granted any lenience and had higher expectations. Good managers were hard to come by.",0.7351,Positive,0.4137,Positive,0.5744,Positive
82,Boston Scientific,Healthcare,Process engineer ii,2025-07-07,4.0,"Work life balance, smart people, cool products.","Slow career growth, stressful project timelines, low salaries with the caveat of good work life balance",0.6124,Positive,0.0258,Neutral,0.31910000000000005,Positive
83,Boston Scientific,Healthcare,Medical device specialist,2025-03-27,3.0,Phenomenal benefits. Mostly steady work once you’ve been hired in full time. Decent amount of PTO,"Pay is crap, and raises are tiny. There are days where you won’t have work and have to go home without pay. And the breaks are minimal",0.3818,Positive,-0.4027,Negative,-0.010450000000000015,Neutral
84,Boston Scientific,Healthcare,Anonymous employee,2025-06-27,4.0,Supportive company culture. Employees are encouraged to explore career opportunities internally to build up experience.,"Change is constant, and career advancement can be a long journey.",0.743,Positive,0.0,Neutral,0.3715,Positive
85,Boston Scientific,Healthcare,Clinical specialist,2025-06-13,5.0,"Great culture, great products, great is you want to work in medical device.","Cons are that it is a big company and while some devices may have that small company feel, not every division is like that.",0.9274,Positive,0.3612,Positive,0.6443,Positive
86,Boston Scientific,Healthcare,R&d engineer,2025-07-09,4.0,"reliable benefits, good office environment","unexpected layoffs, not an ideal location",0.6705,Positive,-0.4168,Negative,0.12685,Positive
87,Boston Scientific,Healthcare,Medical assembler,2025-06-16,5.0,"Loved the energy and how organized everything is, the work culture is very professional and managers are nice",Working weekends and having to catch up was normal at times,0.8316,Positive,0.0,Neutral,0.4158,Positive
88,Boston Scientific,Healthcare,Marketing,2025-06-02,4.0,"The people and culture made it an enjoyable place to work, collaborative, supportive, and positive.",Limited opportunities for growth and development made it challenging to align with long-term career goals.,0.8271,Positive,0.5994,Positive,0.7132499999999999,Positive
89,Boston Scientific,Healthcare,Manufacturing engineer ii,2025-07-03,4.0,"Culture is good, work/life balance is good",Pay and promotion can be slow to move,0.7003,Positive,-0.1027,Negative,0.2988,Positive
90,Boston Scientific,Healthcare,Design quality engineer ii,2025-06-07,5.0,20 days PTO to start with unlimited sick time in MN ESPP with 15% discount,"There's a culture of must listen to your seniors, and giving any sort of push back can be held against you",-0.5106,Negative,0.34,Positive,-0.08530000000000001,Negative
91,Boston Scientific,Healthcare,Sr. software engineer,2025-06-26,5.0,"Work life balance 
Good 401K match 
Great leadership 
Great culture 
Innovation",growth can be slow at times,0.9287,Positive,0.3818,Positive,0.65525,Positive
92,Boston Scientific,Healthcare,Senior manager quality,2025-05-19,5.0,"Great company and leadership, innovative","White male privilege, hard for women and even harder for persons of color to advance career. DE&I program don’t do anything to help",0.7906,Positive,0.5859,Positive,0.68825,Positive
93,Boston Scientific,Healthcare,Field clinical representative,2025-07-03,4.0,Company has been doing well in EP,Long unpredictable days and hours,0.2732,Positive,0.0,Neutral,0.1366,Positive
94,Boston Scientific,Healthcare,Sr commission analyst,2025-03-20,4.0,Laid back and flexible. Good business growth potential.,"I felt like a glorified Excel analyst in my role, In my year of employment my boss only told me thank you or good job twice. They didn't appear to have a good data strategy as almost all analytics were being done in Excel despite having Tableau.",0.7506,Positive,0.959,Positive,0.8548,Positive
95,Boston Scientific,Healthcare,Marketing,2025-05-13,5.0,Broad development opportunities; inclusive team environment; challenging/rewarding work; core values that really resonate with me; working with/for very talented people; total compensation very competitive,The strong talent can make advancement a (worthy) challenge - especially at higher levels,0.8793,Positive,0.8519,Positive,0.8655999999999999,Positive
96,Boston Scientific,Healthcare,Clinical research associate iii,2025-05-16,5.0,Experience is manager-dependent. Lots of support for career growth. Work life balance is great.,Roles have been changed to hybrid-model. Limits career mobility/opportunity,0.8555,Positive,0.0,Neutral,0.42775,Positive
97,Boston Scientific,Healthcare,Medical assembler,2025-07-29,1.0,Nothing absolutely the worst ever,Everything is wrong with the company,0.5423,Positive,-0.4767,Negative,0.032799999999999996,Neutral
98,Boston Scientific,Healthcare,Product builder,2025-06-16,5.0,"Supportive team, clean environment, great benefits, good training, flexible hours.","Sometimes repetitive tasks, limited advancement opportunities, weekend shifts required occasionally.",0.9371,Positive,-0.0772,Negative,0.42995,Positive
99,Boston Scientific,Healthcare,Clinical specialist,2025-06-24,5.0,love it and will never change,not enough inventory but it's okay,0.6369,Positive,0.3291,Positive,0.483,Positive
100,Boston Scientific,Healthcare,Senior financial analyst,2025-06-23,4.0,Work Life Balance Compensation Interesting Work Company Mission Company Leadership,Opportunities for Advancement are lacking,0.4019,Positive,0.3818,Positive,0.39185,Positive
101,Pfizer,Healthcare,Clinical study associate,2025-11-14,5.0,Supports cross functional teams. Main job duties are to maintain Pfizer systems in development,Little access to patient data,0.3612,Positive,0.0,Neutral,0.1806,Positive
